cleaned_method,target_block,tokens_in_method
"def order_authors(self, entry):
    sort_authors = entry.author_sort.split(""&"")
    authors_ordered = list()
    error = False
    ids = [a.id for a in entry.authors]
    for auth in sort_authors:
        results = (
            self.session.query(Authors)
            .filter(Authors.sort == auth.lstrip().strip())
            .all()
        )
        # ToDo: How to handle not found authorname
        if not len(results):
            error = True
            break
        for r in results:
            if r.id in ids:
                authors_ordered.append(r)
    if not error:
        entry.authors = authors_ordered
    return entry
",if r . id in ids :,195
"def describe_images(self, Filters=None, Owners=None):
    images = []
    for image in self.mock_ec2_images:
        if not (Owners is None or image.get(""ImageOwnerAlias"") in Owners):
            continue
        if Filters and not _matches_image_filters(image, Filters):
            continue
        images.append(deepcopy(image))
    return dict(Images=images)
","if Filters and not _matches_image_filters ( image , Filters ) :",107
"def prefetch_related(self, *args):
    try:
        for arg in args:
            if isinstance(arg, str):
                arg = FastPrefetch.make_from_field(model=self.model, field_name=arg)
            elif isinstance(arg, Prefetch):
                arg = FastPrefetch.make_from_prefetch(arg, self.model)
            if not isinstance(arg, FastPrefetch):
                raise Exception(""Must be FastPrefetch object"")
            if arg.field in self.prefetches:
                raise Exception(""Prefetch for field '%s' already exists."")
            self.prefetches[arg.field] = arg
    except Exception as e:  # noqa
        traceback.print_exc()
    return self
","if not isinstance ( arg , FastPrefetch ) :",196
"def niap_scan(rule, extensions, paths, apath, ignore_paths=None):
    """"""NIAP scan.""""""
    try:
        if not apath:
            apath = """"
        options = {
            ""choice_rules"": rule,
            ""alternative_path"": apath,
            ""choice_extensions"": extensions,
            ""ignore_paths"": ignore_paths,
            ""show_progress"": False,
        }
        scanner = Scanner(options, paths)
        res = scanner.scan()
        if res:
            return res[""choice_matcher""]
    except Exception:
        logger.exception(""NIAP scan"")
    return {}
",if res :,176
"def secret_generator(self, string, *args, **kwargs):
    # There may be multiple strings on the same line
    results = self.regex.findall(string)
    for result in results:
        # To accommodate changing self.regex, due to different filetypes
        if isinstance(result, tuple):
            result = result[1]
        entropy_value = self.calculate_shannon_entropy(result)
        if entropy_value > self.entropy_limit:
            yield result
","if isinstance ( result , tuple ) :",121
"def encode(obj, encoding=""utf-8"", errors=""strict""):
    encoder = __encoder(encoding)
    if encoder:
        result = encoder(obj, errors)
        if not (isinstance(result, tuple) and len(result) == 2):
            raise TypeError(""encoder must return a tuple (object, integer)"")
        return result[0]
","if not ( isinstance ( result , tuple ) and len ( result ) == 2 ) :",86
"def greetings(request):
    if request.method == ""POST"":
        form = HelloForm(request.POST)
        if form.is_valid():
            first_name = form.cleaned_data[""fname""]
            last_name = form.cleaned_data[""lname""]
            return HttpResponse(""Hello, {} {}"".format(first_name, last_name))
        else:
            return render(request, ""home.html"")
    return render(request, ""home.html"")
",if form . is_valid ( ) :,125
"def logic():
    while 1:
        yield a
        var = 0
        i = len(a) - 1
        while i >= 0:
            if a[i] == 1:
                var += 1
            i -= 1
        out.next = var
",if a [ i ] == 1 :,74
"def reconfigure(self, user_config) -> None:
    if user_config:
        if self.is_function:
            raise ValueError(
                ""argument func_or_class must be a class to use user_config""
            )
        elif not hasattr(self.callable, BACKEND_RECONFIGURE_METHOD):
            raise RayServeException(
                ""user_config specified but backend ""
                + self.backend_tag
                + "" missing ""
                + BACKEND_RECONFIGURE_METHOD
                + "" method""
            )
        reconfigure_method = getattr(self.callable, BACKEND_RECONFIGURE_METHOD)
        reconfigure_method(user_config)
",if self . is_function :,190
"def convert_charged_to_paritally_charged_and_partially_refunded(apps, schema_editor):
    PaymentModel = apps.get_model(""payment"", ""Payment"")
    for payment in PaymentModel.objects.all():
        if payment.charge_status == CHARGED:
            if is_fully_charged(payment):
                payment.charge_status = ChargeStatus.FULLY_CHARGED
            elif (
                payment.transactions.filter(
                    kind=TransactionKind.REFUND, is_success=True
                ).first()
                is not None
            ):
                payment.charge_status = ChargeStatus.PARTIALLY_REFUNDED
            else:
                payment.charge_status = ChargeStatus.PARTIALLY_CHARGED
            payment.save()
",if payment . charge_status == CHARGED :,196
"def _connect_loop(self, retry):
    # Iterate through the hosts a full cycle before starting over
    status = None
    for host, port in self.client.hosts:
        if self.client._stopped.is_set():
            status = STOP_CONNECTING
            break
        status = self._connect_attempt(host, port, retry)
        if status is STOP_CONNECTING:
            break
    if status is STOP_CONNECTING:
        return STOP_CONNECTING
    else:
        raise ForceRetryError(""Reconnecting"")
",if self . client . _stopped . is_set ( ) :,133
"def Query(host, port, req):
    sock = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    resp = b""""
    try:
        sock.connect((host, int(port)))
        sock.sendall(req)
        while True:
            data = sock.recv(8096)
            if not data:
                return resp
            else:
                resp += data
    except socket.error:
        return resp
    finally:
        sock.close()
",if not data :,133
"def execute(self, arbiter, props):
    if ""name"" in props:
        watcher = self._get_watcher(arbiter, props[""name""])
        if props.get(""waiting""):
            resp = TransformableFuture()
            resp.set_upstream_future(watcher.start())
            resp.set_transform_function(lambda x: {""info"": x})
            return resp
        return watcher.start()
    else:
        return arbiter.start_watchers()
","if props . get ( ""waiting"" ) :",128
"def _select_algs(alg_type, algs, possible_algs, none_value=None):
    """"""Select a set of allowed algorithms""""""
    if algs == ():
        return possible_algs
    elif algs:
        result = []
        for alg_str in algs:
            alg = alg_str.encode(""ascii"")
            if alg not in possible_algs:
                raise ValueError(""%s is not a valid %s algorithm"" % (alg_str, alg_type))
            result.append(alg)
        return result
    elif none_value:
        return [none_value]
    else:
        raise ValueError(""No %s algorithms selected"" % alg_type)
",if alg not in possible_algs :,180
"def fetch(self, mutagen_file):
    for frame in mutagen_file.tags.getall(self.key):
        if frame.desc.lower() == self.description.lower():
            if self.key == ""USLT"":
                return frame.text
            try:
                return frame.text[0]
            except IndexError:
                return None
",if frame . desc . lower ( ) == self . description . lower ( ) :,98
"def setup_widgets(self):
    Editor.setup_widgets(self)
    # Get app version
    app_ver = ""(unknown version)""
    try:
        import pkg_resources, scc
        if scc.__file__.startswith(pkg_resources.require(""sccontroller"")[0].location):
            app_ver = ""v"" + pkg_resources.require(""sccontroller"")[0].version
    except:
        # pkg_resources is not available or __version__ file missing
        # There is no reason to crash on this.
        pass
    # Display version in UI
    self.builder.get_object(""lblVersion"").set_label(app_ver)
","if scc . __file__ . startswith ( pkg_resources . require ( ""sccontroller"" ) [ 0 ] . location ) :",160
"def clean_email(self):
    email = self.cleaned_data.get(""email"")
    if email:
        if self.user.email != email:
            unique = User.objects.filter(email__iexact=email).count()
            if unique > 0:
                raise forms.ValidationError(
                    u""An user with this email address already exists.""
                )
    return email
",if unique > 0 :,105
"def forwards(self, orm):
    from sentry.constants import RESERVED_TEAM_SLUGS
    from sentry.models import slugify_instance
    try:
        superuser = orm[""sentry.User""].objects.filter(is_superuser=True)[0]
    except IndexError:
        return
    for project in orm[""sentry.Project""].objects.filter(team__isnull=True):
        if not project.owner:
            project.owner = superuser
        project.team = orm[""sentry.Team""](
            name=project.name,
            owner=project.owner,
        )
        slugify_instance(project.team, project.team.name, reserved=RESERVED_TEAM_SLUGS)
        project.team.save()
        project.save()
",if not project . owner :,196
"def list_cb(cards):
    for c in cards.values():
        if c[""proplist""][""device.string""] == device[""Address""]:
            self.devices[device[""Address""]] = c
            self.generate_menu(device)
            return
","if c [ ""proplist"" ] [ ""device.string"" ] == device [ ""Address"" ] :",66
"def _extract_tags_from_span(attr):
    if attr is None:
        return {}
    tags = {}
    for attribute_key, attribute_value in attr.items():
        if isinstance(attribute_value, (int, bool, float)):
            value = str(attribute_value)
        elif isinstance(attribute_value, str):
            res, _ = check_str_length(str_to_check=attribute_value)
            value = res
        else:
            logging.warning(""Could not serialize tag %s"", attribute_key)
            continue
        tags[attribute_key] = value
    return tags
","if isinstance ( attribute_value , ( int , bool , float ) ) :",161
"def visit(z, dirname, names):
    for name in names:
        path = os.path.normpath(os.path.join(dirname, name))
        if os.path.isfile(path):
            p = path[len(base_dir) + 1 :]
            if not dry_run:
                z.write(path, p)
            log.debug(""adding '%s'"" % p)
",if os . path . isfile ( path ) :,105
"def validate(self):
    if ""lb_method"" in self.resource:
        lb_method = self.resource[""lb_method""]
        if lb_method not in [""ROUND_ROBIN"", ""LEAST_CONNECTIONS"", ""SOURCE_IP""]:
            raise ValueError(
                ""The lb_method attribute must be ""
                ""either ROUND_ROBIN, LEAST_CONNECTIONS ""
                ""or SOURCE_IP""
            )
    if ""protocol"" in self.resource:
        protocol = self.resource[""protocol""]
        if protocol not in [""TCP"", ""HTTP"", ""HTTPS""]:
            raise ValueError(""The type attribute must be "" ""either TCP, HTTP or HTTPS"")
    return True
","if lb_method not in [ ""ROUND_ROBIN"" , ""LEAST_CONNECTIONS"" , ""SOURCE_IP"" ] :",181
"def compute_adjlist(self, sp_adj, max_degree=32):
    """"""Transfer sparse adjacent matrix to adj-list format""""""
    num_data = sp_adj.shape[0]
    adj = num_data + np.zeros((num_data + 1, max_degree), dtype=np.int32)
    for v in range(num_data):
        neighbors = np.nonzero(sp_adj[v, :])[1]
        len_neighbors = len(neighbors)
        if len_neighbors > max_degree:
            neighbors = np.random.choice(neighbors, max_degree, replace=False)
            adj[v] = neighbors
        else:
            adj[v, :len_neighbors] = neighbors
    return adj
",if len_neighbors > max_degree :,184
"def _fix_paused_jobs_sorting(self, jobs):
    for i, job in enumerate(jobs):
        if job.next_run_time is not None:
            if i > 0:
                paused_jobs = jobs[:i]
                del jobs[:i]
                jobs.extend(paused_jobs)
            break
",if i > 0 :,91
"def random_init(self):
    self.conv1.weight.data.normal_(0, math.sqrt(2.0 / (7 * 7 * 64)))
    for m in self.modules():
        if isinstance(m, nn.Conv2d):
            n = m.kernel_size[0] * m.kernel_size[1] * m.out_channels
            m.weight.data.normal_(0, math.sqrt(2.0 / n))
        elif isinstance(m, nn.BatchNorm2d):
            m.weight.data.fill_(1)
            m.bias.data.zero_()
        elif isinstance(m, nn.InstanceNorm2d):
            m.weight.data.fill_(1)
            m.bias.data.zero_()
","elif isinstance ( m , nn . InstanceNorm2d ) :",195
"def parseUrlEncoded(self, cad):
    dicc = []
    if cad == """":
        dicc.append(Variable("""", None))
    for i in cad.split(""&""):
        if i:
            var_list = i.split(""="", 1)
            if len(var_list) == 1:
                dicc.append(Variable(var_list[0], None))
            elif len(var_list) == 2:
                dicc.append(Variable(var_list[0], var_list[1]))
    self.variables = dicc
",if i :,147
"def get_environment_with_overrides(overrides):
    env = os.environ.copy()
    for key in overrides:
        if overrides[key] is None and key in env:
            del env[key]
        else:
            assert isinstance(overrides[key], str)
            if key.upper() == ""PATH"":
                update_system_path(env, overrides[key])
            else:
                env[key] = overrides[key]
    return env
",if overrides [ key ] is None and key in env :,125
"def create_tuple_column(spec, column_by_spec_getter):
    brackets = 0
    column_begin = 0
    inner_spec = get_inner_spec(spec)
    nested_columns = []
    for i, x in enumerate(inner_spec + "",""):
        if x == "","":
            if brackets == 0:
                nested_columns.append(inner_spec[column_begin:i])
                column_begin = i + 1
        elif x == ""("":
            brackets += 1
        elif x == "")"":
            brackets -= 1
        elif x == "" "":
            if brackets == 0:
                column_begin = i + 1
    return TupleColumn([column_by_spec_getter(x) for x in nested_columns])
",if brackets == 0 :,195
"def _send_launch_message(self, app_id, force_launch=False, callback_function=False):
    if force_launch or self.app_id != app_id:
        self.logger.info(""Receiver:Launching app %s"", app_id)
        self.app_to_launch = app_id
        self.app_launch_event.clear()
        self.app_launch_event_function = callback_function
        self.launch_failure = None
        self.send_message({MESSAGE_TYPE: TYPE_LAUNCH, APP_ID: app_id})
    else:
        self.logger.info(""Not launching app %s - already running"", app_id)
        if callback_function:
            callback_function()
",if callback_function :,189
"def _needs_init(self, code, name):
    if code in self.init_params:
        if hasattr(self, name):
            _log.warning(
                ""Even though the %r attribute is set, it will be ""
                ""overwritten during initialization because 'init_params' ""
                ""contains %r"",
                name,
                code,
            )
        return True
    if not hasattr(self, name):
        return True
    return False
","if hasattr ( self , name ) :",132
"def extra_backend_context(self):
    """"""Specific metadata to be included when passed to backends.""""""
    context = {}
    if self.in_response_to:
        original = self.in_response_to
        context[""in_response_to""] = original.id
        if ""external_id"" in original.fields:
            context[""external_id""] = original.fields[""external_id""]
    return context
","if ""external_id"" in original . fields :",103
"def OnReplaceAll(self, id, code):
    control = _GetControl(None)
    if control is not None:
        control.SetSel(0)
        num = 0
        if self.DoFindNext() == FOUND_NORMAL:
            lastSearch.replaceText = self.editReplaceText.GetWindowText()
            while _ReplaceIt(control) == FOUND_NORMAL:
                num = num + 1
        win32ui.SetStatusText(""Replaced %d occurrences"" % num)
        if num > 0 and not self.butKeepDialogOpen.GetCheck():
            self.DestroyWindow()
",if self . DoFindNext ( ) == FOUND_NORMAL :,157
"def dict(x):
    a = [""(""]
    b = None
    ks = sorted(x.keys())
    for i in ks:
        v = x[i]
        f = Encoder.encoder(v)
        if f:
            v = f(v)
            if isinstance(v, (str, basestring)):
                if b:
                    a.append("","")
                a.append(Encoder.string(i))
                a.append("":"")
                a.append(v)
                b = True
    a.append("")"")
    return """".join(a)
",if b :,159
"def _load_repositories(self, structure):
    """"""Load other image repositories into this local repo""""""
    if ""repositories"" not in structure:
        return False
    loaded_repositories = []
    for imagerepo in structure[""repositories""]:
        for tag in structure[""repositories""][imagerepo]:
            if imagerepo and tag:
                loaded_repo = self._load_image(structure, imagerepo, tag)
                if loaded_repo:
                    loaded_repositories.extend(loaded_repo)
    return loaded_repositories
",if loaded_repo :,141
"def is_valid_relation(self, parent, sub, created=False):
    if sub.is_isolated():
        return {
            ""error"": _(
                ""Isolated instances may not be added or removed from instances groups via the API.""
            )
        }
    if self.parent_model is InstanceGroup:
        ig_obj = self.get_parent_object()
        if ig_obj.controller_id is not None:
            return {
                ""error"": _(
                    ""Isolated instance group membership may not be managed via the API.""
                )
            }
    return None
",if ig_obj . controller_id is not None :,163
"def durationActual(self, dA):
    self._checkFrozen()
    if isinstance(dA, DurationTuple):
        self._durationActual = dA
    elif isinstance(dA, Duration):
        if len(dA.components) > 1:
            dA = copy.deepcopy(dA)
            dA.consolidate()
        self._durationActual = DurationTuple(dA.type, dA.dots, dA.quarterLength)
    elif isinstance(dA, str):
        self._durationActual = durationTupleFromTypeDots(dA, dots=0)
",if len ( dA . components ) > 1 :,149
"def get_encoding(klass, name, diff=None):
    cid2unicode = klass.encodings.get(name, klass.std2unicode)
    if diff:
        cid2unicode = cid2unicode.copy()
        cid = 0
        for x in diff:
            if isinstance(x, int):
                cid = x
            elif isinstance(x, PSLiteral):
                try:
                    cid2unicode[cid] = name2unicode(x.name)
                except KeyError:
                    pass
                cid += 1
    return cid2unicode
","if isinstance ( x , int ) :",154
"def __getitem__(self, name):
    if name in Quality.DOWNLOADED + Quality.SNATCHED + Quality.SNATCHED_PROPER:
        status, quality = Quality.splitCompositeStatus(name)
        if quality == Quality.NONE:
            return self.statusStrings[status]
        else:
            return (
                self.statusStrings[status]
                + "" (""
                + Quality.qualityStrings[quality]
                + "")""
            )
    else:
        return self.statusStrings[name]
",if quality == Quality . NONE :,155
"def _set(self, function):
    try:
        self._tokens = function
        self._next = six.next(self._tokens)
    except IOError as exc:
        error = str(exc)
        if error.count(""]""):
            self.error.set(error.split(""]"")[1].strip())
        else:
            self.error.set(error)
        self._tokens = Tokeniser._off
        self._next = []
        return self.error.set(""issue setting the configuration parser"")
    except StopIteration:
        self._tokens = Tokeniser._off
        self._next = []
        return self.error.set(""issue setting the configuration parser, no data"")
    return True
","if error . count ( ""]"" ) :",179
"def is_valid(self):
    # Some actions do not require comments.
    action = self.helper.actions.get(self.data.get(""action""))
    if action:
        if not action.get(""comments"", True):
            self.fields[""comments""].required = False
        if action.get(""versions"", False):
            self.fields[""versions""].required = True
    result = super(ReviewForm, self).is_valid()
    if result:
        self.helper.set_data(self.cleaned_data)
    return result
","if not action . get ( ""comments"" , True ) :",136
"def lambda_handler(event, context):
    try:
        if debug:
            print(""Connect to Redshift: %s"" % host)
        conn = pg8000.connect(
            database=database,
            user=user,
            password=password,
            host=host,
            port=port,
            ssl=ssl,
        )
    except:
        print(""Redshift Connection Failed: exception %s"" % sys.exc_info()[1])
        return ""Failed""
    if debug:
        print(""Succesfully Connected Redshift Cluster"")
    # Collect Query Monitoring Rule metrics and Publish to SNS topic
    query_redshift(conn)
    conn.close()
    return ""Finished""
",if debug :,184
"def parse(self, source, parser=None):
    close_source = False
    if not hasattr(source, ""read""):
        source = open(source, ""rb"")
        close_source = True
    try:
        if not parser:
            parser = XMLParser(target=TreeBuilder())
        while 1:
            data = source.read(65536)
            if not data:
                break
            parser.feed(data)
        self._root = parser.close()
        return self._root
    finally:
        if close_source:
            source.close()
",if close_source :,155
"def set_metadata_keywords(self, toc_id, kws):
    with self._lock:
        old_fpath = self._lookup(toc_id)
        new_fpath = old_fpath.rsplit(self.colon, 1)[0]
        flags = """".join(sorted([k[0] for k in kws]))
        if flags:
            new_fpath += ""%s2,%s"" % (self.colon, flags)
            if new_fpath != old_fpath:
                os.rename(
                    os.path.join(self._path, old_fpath),
                    os.path.join(self._path, new_fpath),
                )
                self._toc[toc_id] = new_fpath
",if new_fpath != old_fpath :,191
"def check_health(self):
    ""Check the health of the connection with a PING/PONG""
    if self.health_check_interval and time() > self.next_health_check:
        try:
            self.send_command(""PING"", check_health=False)
            if nativestr(self.read_response()) != ""PONG"":
                raise ConnectionError(""Bad response from PING health check"")
        except (ConnectionError, TimeoutError):
            self.disconnect()
            self.send_command(""PING"", check_health=False)
            if nativestr(self.read_response()) != ""PONG"":
                raise ConnectionError(""Bad response from PING health check"")
","if nativestr ( self . read_response ( ) ) != ""PONG"" :",177
"def ValidateStopLongitude(self, problems):
    if self.stop_lon is not None:
        value = self.stop_lon
        try:
            if not isinstance(value, (float, int)):
                self.stop_lon = util.FloatStringToFloat(value, problems)
        except (ValueError, TypeError):
            problems.InvalidValue(""stop_lon"", value)
            del self.stop_lon
        else:
            if self.stop_lon > 180 or self.stop_lon < -180:
                problems.InvalidValue(""stop_lon"", value)
",if self . stop_lon > 180 or self . stop_lon < - 180 :,152
"def get_closest(cls, *locale_codes: str) -> ""Locale"":
    """"""Returns the closest match for the given locale code.""""""
    for code in locale_codes:
        if not code:
            continue
        code = code.replace(""-"", ""_"")
        parts = code.split(""_"")
        if len(parts) > 2:
            continue
        elif len(parts) == 2:
            code = parts[0].lower() + ""_"" + parts[1].upper()
        if code in _supported_locales:
            return cls.get(code)
        if parts[0].lower() in _supported_locales:
            return cls.get(parts[0].lower())
    return cls.get(_default_locale)
",if code in _supported_locales :,184
"def insistent_bucket_delete(conn, bucket_name, keys):
    bucket = conn.lookup(bucket_name)
    if bucket:
        # Delete key names passed by the test code.
        _delete_keys(bucket, keys)
    while True:
        try:
            conn.delete_bucket(bucket_name)
        except boto.exception.S3ResponseError as e:
            if e.status == 404:
                # Create not yet visible, but it just happened above:
                # keep trying.  Potential consistency.
                continue
            else:
                raise
        break
",if e . status == 404 :,161
"def echo(socket, address):
    print(""New connection from %s:%s"" % address)
    socket.sendall(b""Welcome to the echo server! Type quit to exit.\r\n"")
    # using a makefile because we want to use readline()
    rfileobj = socket.makefile(mode=""rb"")
    while True:
        line = rfileobj.readline()
        if not line:
            print(""client disconnected"")
            break
        if line.strip().lower() == b""quit"":
            print(""client quit"")
            break
        socket.sendall(line)
        print(""echoed %r"" % line)
    rfileobj.close()
",if not line :,168
"def parse_messages(self, data):
    buf = BytesIO(data)
    msgs = []
    while buf.tell() < buf.len:
        token = buf.read(1)
        if token == b""+"":
            continue
        if token == b""-"":
            raise NotImplementedError(""Resend packet"")
        if token == b""$"":
            packet_data = b""""
            c = buf.read(1)
            while c != b""#"":
                packet_data += c
                c = buf.read(1)
            checksum = buf.read(2)
            if checksum != self.compute_checksum(packet_data):
                raise ValueError(""Incorrect checksum"")
            msgs.append(packet_data)
    return msgs
","if token == b""+"" :",200
"def _cancel_job_by_id(api: CustomObjectsApi, namespace: str, job_id: str):
    try:
        api.delete_namespaced_custom_object(
            **_crd_args(namespace),
            name=_job_id_to_resource_name(job_id),
        )
    except client.ApiException as e:
        if e.status == 404:
            return None
        else:
            raise
",if e . status == 404 :,117
"def __next__(self):
    try:
        self.dt = advance_iterator(self.gen)
    except StopIteration:
        if self.genlist[0] is self:
            heapq.heappop(self.genlist)
        else:
            self.genlist.remove(self)
            heapq.heapify(self.genlist)
",if self . genlist [ 0 ] is self :,94
"def addPoint(self, x, y):
    if self._n > 0:
        if self._last != 0:
            pctChange = (y - self._last) / self._last
        else:
            pctChange = 0
        self._sum_pct_change += pctChange
        self._sum_pct_change_abs += abs(pctChange)
        self._window.append((x, pctChange))
    self._n += 1
    self._last = y
    if len(self._window) == self._windowSize:
        self.removePoint(*self._window.popleft())
",if self . _last != 0 :,149
"def html_rewriter(self):
    embed_rules = {}
    link_rules = {}
    for rule in self.converter_rules:
        if isinstance(rule, EmbedTypeRule):
            embed_rules[rule.embed_type] = rule.handler.expand_db_attributes
        elif isinstance(rule, LinkTypeRule):
            link_rules[rule.link_type] = rule.handler.expand_db_attributes
    return MultiRuleRewriter([LinkRewriter(link_rules), EmbedRewriter(embed_rules)])
","elif isinstance ( rule , LinkTypeRule ) :",124
"def get_entities(f):
    entities = []
    for line in f:
        if not line.strip() or line[0] != ""T"":
            continue
        parts = line.split(""\t"")[1].split()
        entity_type = parts[0]
        char_offsets = "" "".join(parts[1:])
        for start_end in char_offsets.split("";""):
            start, end = start_end.split("" "")
            entities += [Entity((int(start), int(end)), entity_type)]
    return entities
","if not line . strip ( ) or line [ 0 ] != ""T"" :",139
"def _return_dbus_error(invocation, data):
    if isinstance(data, DbusError):
        invocation.return_dbus_error(data.name, data.message)
    else:
        if isinstance(data, Exception):
            et, ev, etb = sys.exc_info()
            if ev is data:
                message = """".join(traceback.format_exception(et, ev, etb))
            else:
                message = """".join(traceback.format_exception_only(data.__class__, data))
        else:
            message = str(data)
        invocation.return_error_literal(
            Gio.dbus_error_quark(), Gio.DBusError.FAILED, message
        )
","if isinstance ( data , Exception ) :",191
"def connect_skipped_ops(context):
    nn_spec = context.builder.nn_spec
    for layer in nn_spec.layers:
        for i, inp_name in enumerate(layer.input):
            if inp_name in context.skip_map_names:
                layer.input[i] = context.skip_map_names[inp_name]
        for i, out_name in enumerate(layer.output):
            if out_name in context.skip_map_names:
                layer.output[i] = context.skip_map_names[out_name]
",if inp_name in context . skip_map_names :,148
"def check_splitter(command):
    """"""Check xld or shntool installed""""""
    try:
        env = os.environ.copy()
        if ""xld"" in command:
            env[""PATH""] += os.pathsep + ""/Applications""
        elif headphones.CONFIG.CUE_SPLIT_FLAC_PATH:
            command = os.path.join(headphones.CONFIG.CUE_SPLIT_SHNTOOL_PATH, ""shntool"")
        devnull = open(os.devnull)
        subprocess.Popen(
            [command], stdout=devnull, stderr=devnull, env=env
        ).communicate()
    except OSError as e:
        if e.errno == os.errno.ENOENT:
            return False
    return True
",elif headphones . CONFIG . CUE_SPLIT_FLAC_PATH :,189
"def apply_env_options(self):
    ""apply options passed through environment variables""
    env_options = filter(self.is_flower_envvar, os.environ)
    for env_var_name in env_options:
        name = env_var_name.replace(self.ENV_VAR_PREFIX, """", 1).lower()
        value = os.environ[env_var_name]
        try:
            option = options._options[name]
        except KeyError:
            option = options._options[name.replace(""_"", ""-"")]
        if option.multiple:
            value = [option.type(i) for i in value.split("","")]
        else:
            value = option.type(value)
        setattr(options, name, value)
",if option . multiple :,190
